tf_bnum	tf_symbol	gene_bnum	gene_symbol	valid_tf	valid_gene
b1916	sdiA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1921	fliZ	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1951	rcsA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1969	yedW	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1987	cbl	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b1988	nac	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2079	baeR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2105	rcnR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2125	yehT	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2127	mlrA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2151	galS	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2163	yeiL	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2193	narP	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2213	ada	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2217	rcsB	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2220	atoC	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2289	lrhA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2364	dsdC	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2369	evgA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2381	ypdB	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2405	xapR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2427	yfeT	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2491	hyfR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2531	iscR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2537	hcaR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2554	yfhA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2664	csiR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2669	stpA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2684	mprA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2697	alaS	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2706	gutM	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2707	srlR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2709	norR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2714	ascG	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2731	fhlA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2782	mazF	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2783	mazE	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2805	fucR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2808	gcvA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2837	galR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2839	lysR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2916	argP	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b2980	glcC	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3010	yqhC	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3021	ygiT	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3025	qseB	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3060	ttdR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3071	yqjI	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3075	ebgR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3094	exuR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3105	yhaJ	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3118	tdcA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3119	tdcR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3131	agaR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3226	nanR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3237	argR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3261	fis	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3264	envR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3292	zntR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3357	crp	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3405	ompR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3418	malT	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3422	rtcR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3423	glpR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3438	gntR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3481	nikR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3501	arsR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3512	gadE	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3515	gadW	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3516	gadX	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3556	cspA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3569	xylR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3574	yiaJ	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3604	lldR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3669	uhpA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3702	dnaA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3743	asnC	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3753	rbsR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3773	ilvY	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3828	metR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3868	glnG	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3884	yihW	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3905	rhaS	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3906	rhaR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3912	cpxR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3934	cytR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3938	metJ	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3961	oxyR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3963	fabR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b3973	birA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4000	hupA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4004	zraR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4018	iclR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4043	lexA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4046	zur	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4062	soxS	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4063	soxR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4089	rpiR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4113	basR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4116	adiY	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4118	melR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4124	dcuR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4133	cadC	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4178	nsrR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4187	aidB	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4191	ulaR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4241	treR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4260	pepA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4264	idnR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4324	uxuR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4327	yjiE	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4365	yjjQ	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4366	bglJ	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4390	nadR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4393	trpR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4396	rob	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4398	creB	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4401	arcA	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4480	hdfR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b4498	gatR	b0202_tRNA_225380_225457	ileV	TRUE	FALSE
b0020	nhaR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0034	caiF	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0064	araC	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0069	sgrR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0076	leuO	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0080	fruR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0081	mraZ	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0113	pdhR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0162	cdaR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0225	yafQ	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0226	dinJ	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0294	matA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0305	ykgD	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0313	betI	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0315	yahA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0330	prpR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0338	cynR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0345	lacI	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0346	mhpR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0399	phoB	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0413	nrdR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0435	bolA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0440	hupB	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0464	acrR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0487	cueR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0504	allS	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0506	allR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0564	appY	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0566	envY	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0571	cusR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0620	citB	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0676	nagC	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0683	fur	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0694	kdpE	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0730	mngR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0761	modE	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0817	mntR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0840	deoR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0846	ybjK	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0889	lrp	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0912	ihfB	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b0995	torR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1013	rutR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1014	putA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1040	csgD	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1111	ycfQ	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1130	phoP	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1162	ycgE	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1187	fadR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1201	dhaR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1221	narL	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1237	hns	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1275	cysB	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1299	puuR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1303	pspF	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1323	tyrR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1328	ycjZ	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1334	fnr	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1384	feaR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1399	paaX	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1434	ydcN	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1450	yncC	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1499	ydeO	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1507	hipA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1508	hipB	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1512	lsrR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1530	marR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1531	marA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1563	relE	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1564	relB	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1570	dicA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1594	dgsA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1608	rstA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1618	uidR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1620	malI	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1642	slyA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1649	ydhM	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1658	purR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1712	ihfA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1735	chbR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1790	yeaM	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1827	kdgR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1891	flhC	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1892	flhD	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1914	uvrY	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1916	sdiA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1921	fliZ	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1951	rcsA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1969	yedW	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1987	cbl	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b1988	nac	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2079	baeR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2105	rcnR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2125	yehT	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2127	mlrA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2151	galS	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2163	yeiL	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2193	narP	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2213	ada	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2217	rcsB	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2220	atoC	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2289	lrhA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2364	dsdC	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2369	evgA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2381	ypdB	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2405	xapR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2427	yfeT	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2491	hyfR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2531	iscR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2537	hcaR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2554	yfhA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2664	csiR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2669	stpA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2684	mprA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2697	alaS	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2706	gutM	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2707	srlR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2709	norR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2714	ascG	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2731	fhlA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2782	mazF	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2783	mazE	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2805	fucR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2808	gcvA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2837	galR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2839	lysR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2916	argP	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b2980	glcC	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3010	yqhC	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3021	ygiT	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3025	qseB	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3060	ttdR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3071	yqjI	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3075	ebgR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3094	exuR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3105	yhaJ	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3118	tdcA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3119	tdcR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3131	agaR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3226	nanR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3237	argR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3261	fis	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3264	envR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3292	zntR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3357	crp	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3405	ompR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3418	malT	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3422	rtcR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3423	glpR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3438	gntR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3481	nikR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3501	arsR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3512	gadE	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3515	gadW	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3516	gadX	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3556	cspA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3569	xylR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3574	yiaJ	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3604	lldR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3669	uhpA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3702	dnaA	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3743	asnC	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3753	rbsR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3773	ilvY	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3828	metR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3868	glnG	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3884	yihW	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3905	rhaS	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
b3906	rhaR	b0203_tRNA_225499_225575	alaV	TRUE	FALSE
