# 
# ## Query file name:  
# GeneProduct-IDs.txt
# 
# ## DATA version:  
# RegulonDB v10.7	 ECOCYC: v23.5
# 
# ## File creation date:  
# [2020-06-30]
# 
# ## Dataset description:
# Information about Gene and IDs from Ecocyc and GenBank
#
# ## Columns description:  
# - REGULONDB_ID:    RegulonDB Gene Identifier
# - ECOCYC_ID :      Ecocyc Gene Identifier
# - BNUMBER  :       GenBank Identifier / Locus tag
# - GENE_NAME :      Gene name
# - GENE_SYNONYMS:   Gene synonyms
# - GENE_POSLEFT:    Absolute genome left position of the gene
# - GENE_POSRIGHT:   Absolute genome right position of the gene
# - GENE_STRAND:     Genome orientation [forward, reverse]
# - GENE_TYPE:       Type of the gene [ gene, pseudo gene, phantom gene]
# - PRODUCT_ID:    RegulonDB Identifier
# - PRODUCT_NAME:  Product name
# - PRODUCT_SYNONYMS:Product synonyms 
# - PRODUCT_TYPE:    Product type [tRNA, small RNA, ]
#
# ## Data file summary:  
#
#  The totals and the unix commands using this data file is indicated.
#
#   Data File lines: 4739         ```grep -v '^#' GeneProduct-IDs.txt |grep ECK12 | wc -l ```
# 
#
#  GENES:
#  ------------
#   Total of genes:        4739   ```grep -v '^#' GeneProduct-IDs.txt | cut -f1 | grep ECK12 | wc -l```
#   Genes without Ecocyc ID: 29   ```grep -v '^#' GeneProduct-IDs.txt | cut -f2 | grep -e  "-$" | wc -l```
#   Genes without bnumber:   84   ```grep -v '^#' GeneProduct-IDs.txt | cut -f3 | grep -e  "-$" | wc -l```
#   Gene Type Totals     :        ```grep -v '^#' GeneProduct-IDs.txt | cut -f9 | sort | uniq -c```
#        Genes           4532  
#        Phantom Gene      61
#        Pseudo Gene      146
#   Genes with more than one product: 
#   ```grep -v '^#' GeneProduct-IDs.txt |grep ECK12 | cut -f1 | sort | uniq -c | sort -nr | cut -c1-5 | sort | uniq -c```
#        4726    1     4725 genes with 1 product  ( 94 of them have not product)
#           7    2        7 genes with 2 products
#   Genes without product: 94
#    ```grep -v '^#' GeneProduct-IDs.txt |grep ECK12 | perl -ne 'chomp; @F=split(/\t/,$_); if ($F[9] eq "-") { print "$F[0] $F[3] $F[8] $F[9]\n";} ' |wc```
#
# PRODUCTS:
# -------------- 
#   small RNA genes: 120 
#     ```grep -v '^#' GeneProduct-IDs.txt |grep ECK12 | perl -ne 'chomp; @F=split(/\t/,$_); if ($F[12] eq "small RNA") { print "$F[0]\t$F[3]\t$F[12]\n";} |wc’```
#
#
# ## Comments:
# [Details to consider about the data]
# 
#  * Some genes have no Ecocyc-ID because they come from RegulonDB collaborators curation
#  * Some genes have no BNumber because the genes reported in the papers are not included in the Genbank File
#  * Some genes have more than one product
#  * The small RNA from the RegulonDB collaborator are marked as “small RNA” in the product type
#
# REGULONDB_ID	ECOCYC_ID	BNUMBER	GENE_NAME	GENE_SYNONYMS	GENE_POSLEFT	GENE_POSRIGHT	GENE_STRAND	GENE_TYPE	PRODUCT_ID	PRODUCT_NAME	PRODUCT_SYNONYMS	PRODUCT_TYPE
ECK120002704	|G6084|	b0017	 	G6084,b0017,yi82_1	15869	16177	reverse	Phantom Gene	-	 	 	 
ECK120002652	|G0-9563|	b4412	hokC	ECK0017,G0-9563,b4412,gef	16751	16903	reverse	 	ECK120007126	protein HokC	Gef,HokC,HokC, Gef toxin; interferes with membrane function when in excess	 
ECK120000366	|EG10373|	b0018	mokC	ECK0018,EG10373,b0018,gefL	16751	16960	reverse	 	ECK120004842	regulatory protein MokC	GefL,MokC,regulatory peptide whose translation enables hokC (gef) expression	 
ECK120002653	|G0-9581|	b4413	sokC	ECK0019,G0-9581,b4413,sof	16952	17006	forward	 	ECK120007127	SokC	SokC,sof	small RNA
ECK120000645	|EG10652|	b0019	nhaA	ECK0020,EG10652,ant,antA,b0019,hyc	17489	18655	forward	 	ECK120005121	Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA	Ant,AntA,Hyc,NhaA	 
ECK120001066	|EG11078|	b0020	nhaR	ECK0021,EG11078,antO,b0020,yaaB	18715	19620	forward	 	ECK120005542	DNA-binding transcriptional activator NhaR	AntO,NhaR,YaaB	 
ECK120002705	|G6085|	b0021	insB-1	ECK0022,G6085,b0021	19811	20314	reverse	 	ECK120007179	IS1 protein InsB	InsB-1	 
ECK120023911	|G0-10535|	-	insAB-1	G0-10535	19811	20508	reverse	 	ECK120023924	InsAB' transposase	 	 
ECK120002706	|G6086|	b0022	insA-1	ECK0023,G6086,b0022	20233	20508	reverse	 	ECK120007180	IS1 protein InsA	InsA-1	 
ECK120000910	|EG10919|	b0023	rpsT	ECK0024,EG10919,b0023,sup(s20),supS,supS20	20815	21078	reverse	 	ECK120005386	30S ribosomal subunit protein S20	RpsT,SupS	 
ECK120002707	|G6087|	b0024	yaaY	ECK0025,G6087,b0024	21181	21399	forward	 	ECK120007181	DUF2575 domain-containing protein YaaY	YaaY	 
ECK120001067	|EG11079|	b0025	ribF	ECK0026,EG11079,b0025,yaaC	21407	22348	forward	 	ECK120005543	bifunctional riboflavin kinase / FMN adenylyltransferase	RibF,YaaC	 
ECK120000485	|EG10492|	b0026	ileS	ECK0027,EG10492,b0026,ilvS	22391	25207	forward	 	ECK120004961	isoleucine&mdash;tRNA ligase	IleRS,IleS,IlvS	 
ECK120000541	|EG10548|	b0027	lspA	ECK0028,EG10548,b0027,lsp	25207	25701	forward	 	ECK120005017	lipoprotein signal peptidase	Lsp,LspA,SPase II,diacylglycerol prolipoprotein signal peptidase,leader peptidase II,premurein-leader peptidase,prolipoprotein signal peptidase,signal peptidase II	 
ECK120001068	|EG11080|	b0028	fkpB	ECK0029,EG11080,b0028,slpA,yaaD	25826	26275	forward	 	ECK120005544	peptidyl-prolyl <i>cis-trans</i> isomerase FkpB	FkpB,SlpA,YaaD	 
ECK120001069	|EG11081|	b0029	ispH	ECK0030,EG11081,b0029,lytB,yaaE	26277	27227	forward	 	ECK120005545	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	IspH,LytB,YaaE	 
ECK120001070	|EG11082|	b0030	rihC	ECK0031,EG11082,b0030,yaaF	27293	28207	forward	 	ECK120005546	ribonucleoside hydrolase RihC	RihC,YaaF,ribonucleoside hydrolase 3	 
ECK120000200	|EG10206|	b0031	dapB	ECK0032,EG10206,b0031	28374	29195	forward	 	ECK120004676	4-hydroxy-tetrahydrodipicolinate reductase	DHPR,DapB,dihydrodipicolinate reductase	 
ECK125203390	-	-	nc9	 	28509	28620	forward	 	ECK125203391	Nc9	 	small RNA
ECK120000130	|EG10134|	b0032	carA	ECK0033,EG10134,arg,b0032,cap,pyrA	29651	30799	forward	 	ECK120004606	carbamoyl phosphate synthetase subunit &alpha;	&alpha; chain,Arg,Cap,CarA,PyrA,carbamoyl phosphate synthetase, &alpha; chain,small chain	 
ECK120000131	|EG10135|	b0033	carB	ECK0034,EG10135,b0033,cap,pyrA	30817	34038	forward	 	ECK120004607	carbamoyl phosphate synthetase subunit &beta;	&beta; chain,Cap,CarB,PyrA,carbamoyl phosphate synthetase, &beta; chain,large chain	 
ECK120002708	|G6088|	b0034	caiF	ECK0035,G6088,b0034	34300	34695	forward	 	ECK120007182	DNA-binding transcriptional activator CaiF	CaiF	 
ECK120002330	|EG12608|	b0035	caiE	ECK0036,EG12608,b0035	34781	35371	reverse	 	ECK120006805	putative transferase CaiE	CaiE	 
ECK120001510	|EG11557|	b0036	caiD	ECK0037,EG11557,b0036,yaaL	35377	36162	reverse	 	ECK120005986	crotonobetainyl-CoA hydratase	CaiD,YaaL	 
ECK120001511	|EG11558|	b0037	caiC	ECK0038,EG11558,b0037,yaaM	36271	37824	reverse	 	ECK120005987	carnitine&mdash;CoA ligase	CaiC,YaaM	 
ECK120001512	|EG11559|	b0038	caiB	ECK0039,EG11559,b0038,yaaN	37898	39115	reverse	 	ECK120005988	&gamma;-butyrobetainyl-CoA:carnitine CoA transferase	CaiB,YaaN	 
ECK120001513	|EG11560|	b0039	caiA	ECK0040,EG11560,b0039,yaaO	39244	40386	reverse	 	ECK120005989	crotonobetainyl-CoA reductase	CaiA,YaaO	 
ECK120001514	|EG11561|	b0040	caiT	ECK0041,EG11561,b0040,yaaP	40417	41931	reverse	 	ECK120005990	L-carnitine:&gamma;-butyrobetaine antiporter	CaiT,YaaP	 
ECK120001515	|EG11562|	b0041	fixA	ECK0042,EG11562,b0041,yaaQ	42403	43173	forward	 	ECK120005991	putative electron transfer flavoprotein FixA	FixA,YaaQ,putative electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain	 
ECK120001516	|EG11563|	b0042	fixB	ECK0043,EG11563,b0042,yaaR	43188	44129	forward	 	ECK120005992	putative electron transfer flavoprotein FixB	FixB,YaaR,putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like	 
ECK120001517	|EG11564|	b0043	fixC	ECK0044,EG11564,b0043,yaaS	44180	45466	forward	 	ECK120005993	putative oxidoreductase FixC	FixC,YaaS,flavoprotein (electron transport), possibly involved in anaerobic carnitine metabolism	 
ECK120001518	|EG11565|	b0044	fixX	ECK0045,EG11565,b0044,yaaT	45463	45750	forward	 	ECK120005994	putative ferredoxin FixX	FixX,YaaT,putative ferredoxin possibly involved in anaerobic carnitine metabolism	 
ECK120001519	|EG11566|	b0045	yaaU	ECK0046,EG11566,b0045,yabE	45807	47138	forward	 	ECK120005995	putative transporter YaaU	YaaU,YabE	 
ECK120001520	|EG11568|	b0046	kefF	ECK0047,EG11568,b0046,yabF	47246	47776	forward	 	ECK120005996	regulator of KefC-mediated potassium transport and quinone oxidoreductase	KefF,YabF	 
ECK120000514	|EG10521|	b0047	kefC	ECK0048,EG10521,b0047,trkC	47769	49631	forward	 	ECK120004990	K<sup>+</sup> : H<sup>+</sup> antiporter KefC	KefC,TrkC	 
ECK120000320	|EG10326|	b0048	folA	ECK0049,EG10326,b0048,tmr,tmrA	49823	50302	forward	 	ECK120004796	dihydrofolate reductase	FolA,Tmr,TmrA	 
ECK120000044	|EG10048|	b0049	apaH	ECK0050,EG10048,b0049,cfcB	50380	51222	reverse	 	ECK120004520	diadenosine tetraphosphatase	ApaH,CfcB	 
ECK120000043	|EG10047|	b0050	apaG	ECK0051,EG10047,b0050	51229	51606	reverse	 	ECK120004519	DUF525 domain-containing protein ApaG	ApaG	 
ECK120000516	|EG10523|	b0051	rsmA	ECK0052,EG10523,b0051,ksgA	51609	52430	reverse	 	ECK120004992	16S rRNA m<sup>6</sup><sub>2</sub>A1518,m<sup>6</sup><sub>2</sub>A1519 dimethyltransferase	KsgA,RsmA,rRNA small subunit methyltransferase A,ribosomal RNA small subunit methyltransferase A	 
ECK120000684	|EG10691|	b0052	pdxA	ECK0053,EG10691,b0052	52427	53416	reverse	 	ECK120005160	4-hydroxythreonine-4-phosphate dehydrogenase	PdxA	 
ECK120000974	|EG10985|	b0053	surA	ECK0054,EG10985,b0053	53416	54702	reverse	 	ECK120005450	peptidyl-prolyl <i>cis-trans</i> isomerase SurA	PPIase,SurA	 
ECK120001521	|EG11569|	b0054	lptD	ECK0055,EG11569,b0054,imp,ostA,yabG	54755	57109	reverse	 	ECK120005997	lipopolysaccharide assembly protein LptD	Imp,LptD,OstA,YabG	 
ECK120001522	|EG11570|	b0055	djlA	ECK0056,EG11570,b0055,yabH	57364	58179	forward	 	ECK120005998	co-chaperone protein DjlA	DjlA,YabH	 
ECK120002332	|EG12610|	b0056	yabP	ECK0057,EG12610,b0056,b4659	58474	59124	forward	 	ECK120006807	putative uncharacterized protein YabP	YabP	 
ECK120002333	|EG12611|	b0057	yabQ	ECK0058,EG12611,b0057,b4659	59121	59279	forward	 	ECK120006808	protein YabQ	YabQ	 
ECK120002331	|EG12609|	b0058	rluA	ECK0059,EG12609,b0058,yabO	59687	60346	reverse	 	ECK120006806	23S rRNA pseudouridine<sup>746</sup> and tRNA pseudouridine<sup>32</sup> synthase	23S rRNA and tRNA pseudouridine synthase,RluA,YabO,ribosomal large subunit pseudouridine synthase A	 
ECK120001071	|EG11083|	b0059	rapA	ECK0060,EG11083,b0059,hepA,yabA	60358	63264	reverse	 	ECK120005547	RNA polymerase-binding ATPase and RNAP recycling factor	HepA,RNA polymerase (RNAP)-binding ATPase and RNAP recycling factor,RapA,YabA	 
ECK120000738	|EG10747|	b0060	polB	ECK0061,EG10747,b0060,dinA	63429	65780	reverse	 	ECK120005214	DNA polymerase II	DinA,PolB	 
ECK120000051	|EG10055|	b0061	araD	ECK0062,EG10055,b0061	65855	66550	reverse	 	ECK120004527	L-ribulose-5-phosphate 4-epimerase AraD	AraD	 
ECK120000048	|EG10052|	b0062	araA	ECK0063,EG10052,b0062	66835	68337	reverse	 	ECK120004524	L-arabinose isomerase	AraA	 
ECK120000049	|EG10053|	b0063	araB	ECK0064,EG10053,b0063	68348	70048	reverse	 	ECK120004525	ribulokinase	AraB	 
ECK120000050	|EG10054|	b0064	araC	ECK0065,EG10054,b0064	70387	71265	forward	 	ECK120004526	DNA-binding transcriptional dual regulator AraC	AraC	 
ECK120001523	|EG11571|	b0065	yabI	ECK0066,EG11571,b0065	71351	72115	forward	 	ECK120005999	DedA family protein YabI	YabI	 
ECK120001524	|EG11572|	b0066	thiQ	ECK0067,EG11572,b0066,sfuC,yabJ	72229	72927	reverse	 	ECK120006000	thiamin ABC transporter ATP binding subunit	SfuC,ThiQ,YabJ	 
ECK120001525	|EG11573|	b0067	thiP	ECK0068,EG11573,b0067,sfuB,yabK	72911	74521	reverse	 	ECK120006001	thiamin ABC transporter membrane subunit	SfuB,ThiP,YabK	 
ECK120001526	|EG11574|	b0068	thiB	ECK0069,EG11574,b0068,sfuA,tbpA,yabL	74497	75480	reverse	 	ECK120006002	thiamin ABC transporter periplasmic binding protein	SfuA,TBP,TbpA,ThiB,YabL	 
ECK120002641	|G0-9381|	b4762	sroA	ECK4619,G0-9381,b4762,tpe79	75516	75608	reverse	 	ECK125276538	small RNA SroA	SroA	small RNA
ECK120001999	|EG12094|	b0069	sgrR	ECK0070,EG12094,b0069,yabN	75644	77299	reverse	 	ECK120006475	DNA-binding transcriptional dual regulator SgrR	SgrR,YabN	 
ECK120002667	|G0-9941|	b4577	sgrS	ECK0071,G0-9941,b4577,ryaA	77367	77593	forward	 	ECK120007141	SgrS	RyaA,ryaA,small regulatory RNA SgrS	small RNA
ECK120033551	|G0-10617|	b4662	sgrT	ECK4477,G0-10617,b4662	77388	77519	forward	 	ECK120033552	putative inhibitor of the PtsG glucose transporter	SgrT	 
ECK120001692	|EG11754|	b0070	setA	ECK0072,EG11754,b0070,yabM	77621	78799	forward	 	ECK120006168	sugar exporter SetA	SetA,YabM	 
ECK120001527	|EG11575|	b0071	leuD	ECK0073,EG11575,b0071	78848	79453	reverse	 	ECK120006003	3-isopropylmalate dehydratase subunit LeuD	3-isopropylmalate dehydratase, small subunit,LeuD	 
ECK120001528	|EG11576|	b0072	leuC	ECK0074,EG11576,b0072	79464	80864	reverse	 	ECK120006004	3-isopropylmalate dehydratase subunit LeuC	3-isopropylmalate dehydratase, large subunit,LeuC	 
ECK120001529	|EG11577|	b0073	leuB	ECK0075,EG11577,b0073	80867	81958	reverse	 	ECK120006005	3-isopropylmalate dehydrogenase	LeuB	 
ECK120001204	|EG11226|	b0074	leuA	ECK0076,EG11226,b0074	81958	83529	reverse	 	ECK120005680	2-isopropylmalate synthase	LeuA	 
ECK120001253	|EG11280|	b0075	leuL	ECK0077,EG11280,b0075,leuIP,leuLP,leulL,leulLP	83622	83708	reverse	 	ECK120005729	<i>leu</i> operon leader peptide	LeuL	 
ECK120000524	|EG10531|	b0076	leuO	ECK0078,EG10531,b0076	84368	85312	forward	 	ECK120005000	DNA-binding transcriptional dual regulator LeuO	LeuO	 
ECK125276528	|G0-16721|	b4726	yabR	ECK4583,G0-16721,b4726	85467	85511	reverse	 	ECK125276574	protein YabR	YabR	 
ECK120000493	|EG10500|	b0077	ilvI	ECK0079,EG10500,b0077	85630	87354	forward	 	ECK120004969	acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit	IlvI	 
ECK120000492	|EG10499|	b0078	ilvH	ECK0080,EG10499,b0078,brnP	87357	87848	forward	 	ECK120004968	acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit	BrnP,IlvH	 
ECK120001247	|EG11273|	b0079	fruL	EG11273,b0079	87860	87946	forward	Phantom Gene	-	 	 	 
ECK120000332	|EG10338|	b0080	cra	ECK0081,EG10338,b0080,fruC,fruR,shl	88028	89032	forward	 	ECK120004808	DNA-binding transcriptional dual regulator Cra	Cra,FruC,FruR,Shl	 
ECK120001072	|EG11084|	b0081	mraZ	ECK0082,EG11084,b0081,yabB	89634	90092	forward	 	ECK120005548	DNA-binding transcriptional repressor MraZ	MraZ,YabB	 
ECK120001073	|EG11085|	b0082	rsmH	ECK0083,EG11085,b0082,mraW,yabC	90094	91035	forward	 	ECK120005549	16S rRNA m<sup>4</sup>C1402 methyltransferase	MraW,RsmH,YabC	 
ECK120001074	|EG11086|	b0083	ftsL	ECK0084,EG11086,b0083,mraR,yabD	91032	91397	forward	 	ECK120005550	cell division protein FtsL	FtsL,MraR,YabD,essential cell division protein FtsL	 
ECK120000335	|EG10341|	b0084	ftsI	ECK0085,EG10341,b0084,pbpB,sep	91413	93179	forward	 	ECK120004811	peptidoglycan DD-transpeptidase FtsI	FtsI,PBP3,PbpB,Sep,essential cell division protein FtsI,penicillin-binding protein 3	 
ECK120000614	|EG10621|	b0085	murE	ECK0086,EG10621,b0085	93166	94653	forward	 	ECK120005090	UDP-<i>N</i>-acetylmuramoyl-L-alanyl-D-glutamate&mdash;2,6-diaminopimelate ligase	MurE	 
ECK120000615	|EG10622|	b0086	murF	ECK0087,EG10622,b0086,mra	94650	96008	forward	 	ECK120005091	D-alanyl-D-alanine-adding enzyme	Mra,MurF	 
ECK120000597	|EG10604|	b0087	mraY	ECK0088,EG10604,b0087,murX	96002	97084	forward	 	ECK120005073	phospho-<i>N</i>-acetylmuramoyl-pentapeptide-transferase	MraY,MurX	 
ECK120000613	|EG10620|	b0088	murD	ECK0089,EG10620,b0088	97087	98403	forward	 	ECK120005089	UDP-<i>N</i>-acetylmuramoyl-L-alanine&mdash;D-glutamate ligase	MurD	 
ECK120000338	|EG10344|	b0089	ftsW	ECK0090,EG10344,b0089	98403	99647	forward	 	ECK120004814	essential cell division protein FtsW	FtsW,putative lipid II flippase FtsW	 
ECK120000616	|EG10623|	b0090	murG	ECK0091,EG10623,b0090	99644	100711	forward	 	ECK120005092	N-acetylglucosaminyl transferase	MurG	 
ECK120000612	|EG10619|	b0091	murC	ECK0092,EG10619,b0091	100765	102240	forward	 	ECK120005088	UDP-<i>N</i>-acetylmuramate&mdash;L-alanine ligase	MurC	 
ECK120000208	|EG10214|	b0092	ddlB	ECK0093,EG10214,b0092,ddl	102233	103153	forward	 	ECK120004684	D-alanine&mdash;D-alanine ligase B	Ddl,DdlB	 
ECK120000336	|EG10342|	b0093	ftsQ	ECK0094,EG10342,b0093	103155	103985	forward	 	ECK120004812	cell division protein FtsQ	FtsQ,essential cell division protein FtsQ	 
ECK120000333	|EG10339|	b0094	ftsA	ECK0095,EG10339,b0094,divA	103982	105244	forward	 	ECK120004809	cell division protein FtsA	DivA,FtsA,essential cell division protein FtsA	 
ECK120000341	|EG10347|	b0095	ftsZ	ECK0096,EG10347,b0095,sfiB,sulB	105305	106456	forward	 	ECK120004817	cell division protein FtsZ	FtsZ,SfiB,SulB,essential cell division protein FtsZ	 
ECK120000259	|EG10265|	b0096	lpxC	ECK0097,EG10265,asmB,b0096,envA	106557	107474	forward	 	ECK120004735	UDP-3-<i>O</i>-acyl-<i>N</i>-acetylglucosamine deacetylase	AsmB,EnvA,LpxC	 
ECK120001075	|EG11087|	b0097	secM	ECK0098,EG11087,b0097,srrA,yacA	107705	108217	forward	 	ECK120005551	SecA translation regulator	SecM,SrrA,YacA,secretion monitor	 
ECK120000925	|EG10936|	b0098	secA	ECK0099,EG10936,azi,b0098,pea,prlD	108279	110984	forward	 	ECK120005401	protein translocation ATPase	Azi,Pea,PrlD,SecA	 
ECK120000619	|EG10626|	b0099	mutT	ECK0100,EG10626,b0099,nudA	111044	111433	forward	 	ECK120005095	8-oxo-dGTP diphosphatase	MutT,NudA	 
ECK120002709	|G6089|	b0100	b0100	G6089	111564	111698	reverse	Phantom Gene	-	 	 	 
ECK120002191	|EG12314|	b0101	yacG	ECK0101,EG12314,b0101	111649	111846	reverse	 	ECK120006666	DNA gyrase inhibitor YacG	YacG	 
ECK120002190	|EG12313|	b0102	zapD	ECK0102,EG12313,b0102,yacF	111856	112599	reverse	 	ECK120006665	cell division factor ZapD	YacF,ZapD	 
ECK120002189	|EG12312|	b0103	coaE	ECK0103,EG12312,b0103,yacE	112599	113219	reverse	 	ECK120006664	dephospho-CoA kinase	CoaE,YacE	 
ECK125276507	|G0-16722|	b4727	yacM	ECK4584,G0-16722,b4727	113244	113288	forward	 	ECK125276578	protein YacM	YacM	 
ECK120000415	|EG10422|	b0104	guaC	ECK0104,EG10422,b0104	113444	114487	forward	 	ECK120004891	GMP reductase	GuaC	 
ECK120002710	|G6090|	b0105	b0105	G6090	114407	114514	reverse	Phantom Gene	-	 	 	 
ECK120001732	|EG11798|	b0106	hofC	ECK0105,EG11798,b0106,hopC,yacD	114522	115724	reverse	 	ECK120006208	inner membrane protein HofC	HofC,HopC,YacD	 
ECK120002011	|EG12106|	b0107	hofB	ECK0106,EG12106,b0107,hopB	115714	117099	reverse	 	ECK120006487	T2SSE family protein	HofB,HopB	 
ECK120002012	|EG12107|	b0108	ppdD	ECK0107,EG12107,b0108	117109	117549	reverse	 	ECK120006488	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD	PpdD,prepilin peptidase dependent protein	 
